"id","soil_type","distance","capillary_rate"
"486","Su3","15","0.0007"
"487","Su4","15","0.0008"
"488","Sl2","15","0.0"
"489","Sl3","15","0.0"
"490","Sl4","15","0.0"
"491","Slu","15","0.0003"
"492","St2","15","0.0"
"493","St3","15","0.0"
"494","fS","15","0.0"
"495","gS","15","0.0"
"496","mS","15","0.0"
"497","Ss","15","0.0"
"498","Us","15","0.001"
"499","Uu","15","0.002"
"500","Uls","15","0.0019"
"501","Ut2","15","0.0011"
"502","Ut3","15","0.0011"
"503","Ut4","15","0.0008"
"504","Ls2","15","0.0004"
"505","Ls3","15","0.0005"
"506","Ls4","15","0.0004"
"507","Lt2","15","0.0004"
"508","Lt3","15","0.0005"
"509","Lu","15","0.0007"
"510","Lts","15","0.0002"
"511","Tt","15","0.0"
"512","Tl","15","0.0"
"513","Tu2","15","0.0"
"514","Tu3","15","0.0"
"515","Tu4","15","0.0002"
"516","Ts2","15","0.0"
"517","Ts3","15","0.0"
"518","Ts4","15","0.0"
"519","Su2","16","0.0003"
"520","Su3","16","0.0007"
"521","Su4","16","0.0008"
"522","Sl2","16","0.0"
"523","Sl3","16","0.0"
"524","Sl4","16","0.0"
"525","Slu","16","0.0003"
"526","St2","16","0.0"
"527","St3","16","0.0"
"528","fS","16","0.0"
"529","gS","16","0.0"
"530","mS","16","0.0"
"531","Ss","16","0.0"
"532","Us","16","0.001"
"533","Uu","16","0.002"
"534","Uls","16","0.0019"
"535","Ut2","16","0.0011"
"536","Ut3","16","0.0011"
"537","Ut4","16","0.0008"
"538","Ls2","16","0.0004"
"539","Ls3","16","0.0005"
"540","Ls4","16","0.0004"
"541","Lt2","16","0.0004"
"542","Lt3","16","0.0005"
"543","Lu","16","0.0007"
"544","Lts","16","0.0002"
"545","Tt","16","0.0"
"546","Tl","16","0.0"
"547","Tu2","16","0.0"
"548","Tu3","16","0.0"
"549","Tu4","16","0.0002"
"550","Ts2","16","0.0"
"551","Ts3","16","0.0"
"552","Ts4","16","0.0"
"553","Su2","17","0.0002"
"554","Su3","17","0.0005"
"555","Su4","17","0.0005"
"556","Sl2","17","0.0"
"557","Sl3","17","0.0"
"558","Sl4","17","0.0"
"559","Slu","17","0.0002"
"560","St2","17","0.0"
"561","St3","17","0.0"
"562","fS","17","0.0"
"563","gS","17","0.0"
"564","mS","17","0.0"
"565","Ss","17","0.0"
"566","Us","17","0.0007"
"567","Uu","17","0.0015"
"568","Uls","17","0.0014"
"569","Ut2","17","0.0007"
"570","Ut3","17","0.0007"
"571","Ut4","17","0.0005"
"572","Ls2","17","0.0002"
"573","Ls3","17","0.0003"
"574","Ls4","17","0.0003"
"575","Lt2","17","0.0003"
"576","Lt3","17","0.0003"
"577","Lu","17","0.0005"
"578","Lts","17","0.0001"
"579","Tt","17","0.0"
"580","Tl","17","0.0"
"581","Tu2","17","0.0"
"582","Tu3","17","0.0"
"583","Tu4","17","0.0001"
"584","Ts2","17","0.0"
"585","Ts3","17","0.0"
"586","Ts4","17","0.0"
"587","Su2","18","0.0002"
"588","Su3","18","0.0005"
"589","Su4","18","0.0005"
"590","Sl2","18","0.0"
"591","Sl3","18","0.0"
"592","Sl4","18","0.0"
"593","Slu","18","0.0002"
"594","St2","18","0.0"
"595","St3","18","0.0"
"596","fS","18","0.0"
"597","gS","18","0.0"
"598","mS","18","0.0"
"599","Ss","18","0.0"
"600","Us","18","0.0007"
"601","Uu","18","0.0015"
"602","Uls","18","0.0014"
"603","Ut2","18","0.0007"
"604","Ut3","18","0.0007"
"605","Ut4","18","0.0005"
"606","Ls2","18","0.0002"
"607","Ls3","18","0.0003"
"608","Ls4","18","0.0003"
"609","Lt2","18","0.0003"
"610","Lt3","18","0.0003"
"611","Lu","18","0.0005"
"612","Lts","18","0.0"
"613","Tt","18","0.0"
"614","Tl","18","0.0"
"615","Tu2","18","0.0"
"616","Tu3","18","0.0"
"617","Tu4","18","0.0"
"618","Ts2","18","0.0"
"619","Ts3","18","0.0"
"620","Ts4","18","0.0"
"621","Su2","19","0.0002"
"622","Su3","19","0.0005"
"623","Su4","19","0.0005"
"624","Sl2","19","0.0"
"625","Sl3","19","0.0"
"626","Sl4","19","0.0"
"627","Slu","19","0.0002"
"628","St2","19","0.0"
"629","St3","19","0.0"
"630","fS","19","0.0"
"631","gS","19","0.0"
"632","mS","19","0.0"
"633","Ss","19","0.0"
"634","Us","19","0.0007"
"635","Uu","19","0.0015"
"636","Uls","19","0.0014"
"637","Ut2","19","0.0007"
"638","Ut3","19","0.0007"
"639","Ut4","19","0.0005"
"640","Ls2","19","0.0002"
"641","Ls3","19","0.0003"
"642","Ls4","19","0.0003"
"643","Lt2","19","0.0003"
"644","Lt3","19","0.0003"
"645","Lu","19","0.0005"
"646","Lts","19","0.0"
